Tracking project build/test results with MY_ASM=builtin MY_LD=builtin

| Project | x86 | i686 | arm | riscv | Notes |
|---------|-----|------|-----|-------|-------|
| lz4     | PASS | PASS | FAIL | FAIL | i686 fixed by local symbol reloc fix |
| libyaml | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix |
| tomlc99 | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix |
| parson  | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix |
| jsmn    | PASS | PASS | N/A  | N/A  | Fixed i686: IFUNC support (IPLT/IRELATIVE), TLS, local sym resolution, generic section writes |
| zstd    | PASS | TODO | TODO | TODO | Fixed __ASSEMBLER__ for .S files, .pushsection/.popsection, BMI2 instrs, bitwise expr parsing |
| 8cc     | PASS | FAIL (i686 asm undefined syms) | TODO | TODO | Fixed x86 builtin linker copy-reloc st_shndx and .gnu.hash |
| bzip2   | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix |
| miniz   | PASS | FAIL (i686 asm) | PASS | PASS | i686 still fails (different issue) |
| utf8proc | PASS | PASS | PASS | PASS | i686 fixed by local symbol reloc fix |
| chibicc | PASS | TODO | TODO | TODO | Passes x86 |
| QuickJS | PASS | TODO | TODO | TODO | Passes x86 |
| cJSON   | PASS | PASS | PASS | PASS | All arches pass with builtin asm/ld |
| monocypher | PASS | PASS | PASS | PASS | Fixed ARM asm: symbol names matching register names (e.g. x16) |
| sundown | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| termbox | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| dash    | PASS | FAIL | PASS | FAIL | Fixed x86: COPY reloc weak alias resolution (environ/__environ) |
| cmark   | PASS | FAIL (i686 codegen) | PASS | PASS | Fixed x86/riscv asm octal escape parsing (\0 prefix consumed too early); i686 builds now (COMDAT fix) but segfaults (codegen bug) |
| Duktape | PASS | PASS | PASS | PASS | Passes all architectures out of the box |
| Wren    | PASS | TODO | TODO | TODO | Passes x86 (minor flaky timing tests, pass on retry) |
| json-c  | PASS | FAIL (asm issue) | PASS | PASS | Fixed i686 linker local symbol collision (GOTOFF relocations); i686 passes with GCC asm + builtin LD; builtin asm still has issues |
| nanomsg | PASS | FAIL (i686 segfault) | PASS | PASS | Fixed: linker now rejects undefined symbols instead of silently resolving to 0 |
| lmdb    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| unqlite | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| libev   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| vedis   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| hiredis | PASS | FAIL (i686 segfault) | PASS | PASS | x86/arm/riscv pass |
| mongoose | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| freetype | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| nuklear | PASS | FAIL (i686) | PASS | PASS | x86/arm/riscv pass |
| inih    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| sds     | PASS | TODO | TODO | TODO | Passes x86 |
| klib    | PASS | TODO | TODO | TODO | Passes x86 |
| oniguruma | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| stb_image | PASS | TODO | TODO | TODO | Passes x86 |
| xxhash  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| yyjson  | PASS | PASS | PASS | PASS | Fixed i686: incl/decl peephole broke carry flag for 64-bit negation (addl $1 before adcl) |
| smaz    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| heatshrink | PASS | PASS | PASS | PASS | Fixed i686: linker rejected .os/.od archive members and input files (extension-based filters) |
| bearssl | PASS | TODO (slow) | PASS | PASS | Build script fix: -DBR_GCC=0 to disable GCC vector type intrinsics. i686 correct but crypto tests too slow (~15x vs GCC) |
| tinyexpr | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| sqlite  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| genann  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| munit   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| llhttp  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| gumbo   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| md4c    | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| libtommath | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| flatcc  | PASS | PASS | FAIL (arm segfault) | PASS | arm crashes at runtime in monster_test |
| mbedtls | PASS | PASS | PASS | PASS | Fixed i686 asm: added AES-NI instructions; fixed SUB/SBB misencoding as byte ops (mnemonic_size_suffix bug) |
| giflib  | PASS | FAIL (i686) | PASS | PASS | x86/arm/riscv pass |
| arithcode | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| tweetnacl | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| kann    | PASS | PASS | FAIL (arm NEON) | PASS | Fixed: added MXCSR macros/functions to xmmintrin.h, added stmxcsr/ldmxcsr to i686 asm |
| libucl  | PASS | PASS | FAIL (arm) | PASS | arm fails (separate issue) |
| mpack   | PASS | PASS | PASS | PASS | Fixed ARM: FP param spill clobbered GP arg regs (x0) in prologue |
| argtable3 | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| cwalk   | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| linenoise | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| log.c   | PASS | PASS | PASS | PASS | Fixed i686: missing libgcc.a (demand-driven archive extraction), TLS relocs, R_386_TLS_LE/TPOFF32 formula swap (exit crash) |
| picohttpparser | PASS | PASS | PASS | PASS | Fixed ARM: stack-passed params in callee prologue clobbered x0 (emit_store_stack_params used x0 as scratch) |
| http-parser | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| tiny-regex-c | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| binn    | PASS | PASS | PASS | PASS | Fixed ARM: mixed float/int param clobbering (pre-store promoted GP params) |
| coremark | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| tinycthread | PASS | FAIL (i686 thread-exit) | FAIL (arm thread-exit) | FAIL (riscv thread-exit) | Fixed x86: .tbss-only TLS missing PT_TLS. i686/arm/riscv fail on thread-exit (pthread_exit static linking issue, separate bug) |
| dlmalloc | PASS | TODO | TODO | TODO | Passes x86 |
| c4 | PASS | TODO | TODO | TODO | Passes x86 |
| shoco | PASS | TODO | TODO | TODO | Passes x86 |
| ncompress | PASS | TODO | TODO | TODO | Passes x86 |
| lzf | PASS | TODO | TODO | TODO | Passes x86 |
| whetstone | PASS | TODO | TODO | TODO | Passes x86 |
| dhrystone | PASS | TODO | TODO | TODO | Passes x86 |
| tdb     | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| jansson | PASS | PASS | PASS | PASS | Fixed i686 asm: SymbolDiff (.long A-B) addend correction for PIC jump tables; R_386_GOTPC for _GLOBAL_OFFSET_TABLE_; linker COMDAT dedup |
| cc65    | TODO | TODO | PASS | TODO | Fixed ARM asm: preserve original case for condition code/barrier symbol names (CS was lowercased to cs) |
| brieflz | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| nettle  | PASS | TODO | TODO | TODO | Fixed x86 asm: added rdsspq/rdsspd (CET shadow stack) instructions; fixed escape_string \0 -> \000 to prevent octal escape consuming adjacent digits |
| tinn    | PASS | TODO | TODO | TODO | Passes x86 |
| tinycbor | PASS | TODO | TODO | TODO | Passes x86 |
| brotli  | PASS | FAIL | SKIP | FAIL | x86 passes; i686/riscv fail; no arm check script |
| msgpack-c | PASS | TODO | TODO | TODO | Passes x86 |
| Lua     | PASS | TODO | TODO | TODO | Passes x86 |
| samurai | PASS | TODO | TODO | TODO | Passes x86 |
| cmocka  | PASS | TODO | TODO | TODO | Passes x86 |
| gawk    | PASS | TODO | TODO | TODO | Passes x86 |
| mawk    | PASS | TODO | TODO | TODO | Passes x86 |
| rc      | PASS | TODO | TODO | TODO | Passes x86 |
| s7      | PASS | TODO | TODO | TODO | Passes x86 |
| wolfssl | PASS | TODO | TODO | TODO | Passes x86 |
| darkhttpd | PASS | PASS | PASS | PASS | Fixed i686: set_permissions on /dev/null was hard-erroring (now ignores errors like other backends) |
| libconfig | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| libcsv  | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| nghttp2 | PASS | PASS | PASS | PASS | All architectures pass out of the box |
| discount | PASS | PASS | PASS | PASS | Fixed x86 linker: local symbol collision (local STB_LOCAL symbols were resolved to global symbols with same name from other object files) |
| gdbm    | PASS | PASS | PASS | PASS | Fixed RISC-V linker: added _Unwind/gcc_personality to linker_defined list + fixed .so search in linker scripts |
| xz_liblzma | PASS (with -DXZ_CLMUL_CRC=OFF) | TODO | TODO | TODO | Fixed inline asm early-clobber + callee-saved overflow. CLMUL CRC codegen is a separate bug. |
